Source,Type,Name,Versions,Sample,Related,Unit,Meaning
STATUS,counter,Aborted_clients,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,44067,,connections,The number of connections that were aborted because the client died without closing the connection properly.
STATUS,counter,Aborted_connects,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,6135,,connections,The number of failed attempts to connect to the MySQL server. 
STATUS,counter,Aborted_connects_preauth,10.4;10.5;10.6,0,,connections,Number of connection attempts that were aborted prior to authentication (regardless of whether or not an error occured).
STATUS,counter,Access_denied_errors,10.1;10.2;10.3;10.4;10.5;10.6,25062,,connections,Number of access denied errors.
STATUS,counter,Acl_column_grants,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,Number of column permissions granted (rows in the mysql.columns_priv table).
STATUS,counter,Acl_database_grants,10.1;10.2;10.3;10.4;10.5;10.6,10106,,ops,Number of database permissions granted (rows in the mysql.db table).
STATUS,counter,Acl_function_grants,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,Number of function permissions granted (rows in the mysql.procs_priv table with a routine type of FUNCTION).
STATUS,counter,Acl_package_body_grants,10.3;10.4;10.5;10.6,0,,ops,
STATUS,counter,Acl_package_spec_grants,10.3;10.4;10.5;10.6,0,,ops,
STATUS,counter,Acl_procedure_grants,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,Number of procedure permissions granted (rows in the mysql.procs_priv table with a routine type of PROCEDURE).
STATUS,counter,Acl_role_grants,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops, Number of role permissions granted (rows in the mysql.roles_mapping table).
STATUS,counter,Acl_table_grants,10.1;10.2;10.3;10.4;10.5;10.6,2,,ops,Number of table permissions granted (rows in the mysql.tables_priv table).
STATUS,counter,Aria_pagecache_read_requests,10.1;10.2;10.3;10.4;10.5;10.6,662104897,,,
STATUS,counter,Aria_pagecache_reads,10.1;10.2;10.3;10.4;10.5;10.6,14780595,,,
STATUS,counter,Aria_pagecache_write_requests,10.1;10.2;10.3;10.4;10.5;10.6,121333786,,,
STATUS,counter,Aria_pagecache_writes,10.1;10.2;10.3;10.4;10.5;10.6,52059798,,,
STATUS,counter,Aria_transaction_log_syncs,10.1;10.2;10.3;10.4;10.5;10.6,16145,,ops,
STATUS,counter,Binlog_bytes_written,10.1;10.2;10.3;10.4;10.5;10.6,0,,bytes,
STATUS,counter-critical,Binlog_cache_disk_use,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,binlog_cache_size,ops,The number of transactions that used the temporary binary log cache but that exceeded the value of binlog_cache_size and used a temporary file to store statements from the transaction.
STATUS,counter,Binlog_cache_use,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,The number of transactions that used the binary log cache.
STATUS,counter,Binlog_commits,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,
STATUS,counter,Binlog_group_commit_trigger_count,10.1;10.2;10.3;10.4;10.5;10.6,0,,,
STATUS,counter,Binlog_group_commit_trigger_lock_wait,10.1;10.2;10.3;10.4;10.5;10.6,0,,,
STATUS,counter,Binlog_group_commit_trigger_timeout,10.1;10.2;10.3;10.4;10.5;10.6,0,,,
STATUS,counter,Binlog_group_commits,10.1;10.2;10.3;10.4;10.5;10.6,0,,ops,
STATUS,counter,Binlog_stmt_cache_disk_use,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,binlog_stmt_cache_size,statements,The number of nontransactional statements that used the binary log statement cache but that exceeded the value of binlog_stmt_cache_size and used a temporary file to store those statements.
STATUS,counter,Binlog_stmt_cache_use,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,The number of nontransactional statements that used the binary log statement cache.
STATUS,counter,Busy_time,10.1;10.2;10.3;10.4;10.5;10.6,0,,seconds, Cumulative time in seconds of activity on connections.
STATUS,counter,Bytes_received,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,312000000000,,bytes,The number of bytes received from all clients.
STATUS,counter,Bytes_sent,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,9940000000000,,bytes,The number of bytes sent to all clients.
STATUS,counter,Column_compressions,10.3;10.4;10.5;10.6,0,,columns,
STATUS,counter,Column_decompressions,10.3;10.4;10.5;10.6,0,,columns,
STATUS,counter,Com_admin_commands,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,114120,,statements,"Number of admin commands executed. These include table dumps, change users, binary log dumps, shutdowns, pings and debugs."
STATUS,counter,Com_alter_db,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,175,,statements,Number of ALTER DATABASE commands
STATUS,counter,Com_alter_db_upgrade,5.5;5.6;5.7;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of ALTER DATABASE ... UPGRADE commands executed.
STATUS,counter,Com_alter_event,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of ALTER EVENT commands executed
STATUS,counter,Com_alter_function,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of ALTER FUNCTION commands executed
STATUS,counter,Com_alter_instance,5.7;8.0,0,,statements,
STATUS,counter,Com_alter_procedure,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_alter_resource_group,8,0,,statements,
STATUS,counter,Com_alter_sequence,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_alter_server,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_alter_table,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,42896,,statements,
STATUS,counter,Com_alter_tablespace,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_alter_user,5.6;5.7;8.0;10.2;10.3;10.4;10.5;10.6,3818,,statements,
STATUS,counter,Com_alter_user_default_role,8,0,,statements,
STATUS,counter,Com_analyze,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_assign_to_keycache,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_backup,10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_backup_lock,10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_begin,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,4528096,,statements,
STATUS,counter,Com_binlog,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_call_procedure,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_change_db,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5529161,,statements,Number of USE database_name commands executed.
STATUS,counter,Com_change_master,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_change_repl_filter,5.7;8.0,0,,statements,
STATUS,counter,Com_change_replication_source,8,0,,statements,
STATUS,counter,Com_check,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,779,,statements,
STATUS,counter,Com_checksum,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_clone,8,0,,statements,
STATUS,counter,Com_commit,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,4527294,Handler_commit,statements,"Number of COMMIT commands executed. Differs from Handler_commit, which counts internal commit statements."
STATUS,counter,Com_compound_sql,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of compund sql statements
STATUS,counter,Com_create_compression_dictionary,5.7,0,,statements,
STATUS,counter,Com_create_db,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,431,,statements,
STATUS,counter,Com_create_event,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_function,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5,,statements,
STATUS,counter,Com_create_index,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,216,,statements,
STATUS,counter,Com_create_package,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_package_body,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_procedure,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_resource_group,8,0,,statements,
STATUS,counter,Com_create_role,8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_sequence,10.3;10.4;10.5;10.6,0,,statements,Number of CREATE SEQUENCE commands executed
STATUS,counter,Com_create_server,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_spatial_reference_system,8,0,,statements,
STATUS,counter,Com_create_table,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,119139,,statements,
STATUS,counter,Com_create_temporary_table,10.1;10.2;10.3;10.4;10.5;10.6,6379,,statements,
STATUS,counter,Com_create_trigger,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,3,,statements,
STATUS,counter,Com_create_udf,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_create_user,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1712,,statements,
STATUS,counter,Com_create_view,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,551,,statements,
STATUS,counter,Com_dealloc_sql,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1,,statements,Number of DROP PREPARE or DEALLOCATE commands executed.
STATUS,counter,Com_delete,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,6244404,Handler_delete,statements,"Number of DELETE commands executed. Differs from Handler_delete, which counts the number of times rows have been deleted from tables."
STATUS,counter,Com_delete_multi,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,27766,,statements,Number of multi-table DELETE commands executed
STATUS,counter,Com_do,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_compression_dictionary,5.7,0,,statements,
STATUS,counter,Com_drop_db,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,276,,statements,
STATUS,counter,Com_drop_event,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_function,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,4,,statements,
STATUS,counter,Com_drop_index,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,17,,statements,
STATUS,counter,Com_drop_package,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_package_body,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_procedure,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_resource_group,8,0,,statements,
STATUS,counter,Com_drop_role,8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_sequence,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_server,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_drop_spatial_reference_system,8,0,,statements,
STATUS,counter,Com_drop_table,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,7636,,statements,
STATUS,counter,Com_drop_temporary_table,10.1;10.2;10.3;10.4;10.5;10.6,202,,statements,
STATUS,counter,Com_drop_trigger,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,2,,statements,
STATUS,counter,Com_drop_user,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,751,,statements,
STATUS,counter,Com_drop_view,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,4,,statements,
STATUS,counter,Com_empty_query,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5044,,statements,Number of queries to the server that do not produce SQL queries. 
STATUS,counter,Com_enable_governor,5.7;10.1;10.2;10.3;10.4,0,,statements,
STATUS,counter,Com_enable_governor_lve,5.7;10.1;10.2;10.3;10.4,11085,,statements,
STATUS,counter,Com_enable_governor_reconn,5.7;10.1;10.2;10.3;10.4,0,,statements,
STATUS,counter,Com_enable_governor_reconn_lve,5.7;10.1;10.2;10.3;10.4,0,,statements,
STATUS,counter,Com_execute_immediate,10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_execute_sql,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1,,statements,
STATUS,counter,Com_explain_other,5.7;8.0,0,,statements,Indicates the number of EXPLAIN FOR CONNECTION statements executed. 
STATUS,counter,Com_flush,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1024,,statements,
STATUS,counter,Com_get_diagnostics,5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_grant,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,11271,,statements,
STATUS,counter,Com_grant_role,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_grant_roles,8,0,,statements,
STATUS,counter,Com_group_replication_start,5.7;8.0,0,,statements,
STATUS,counter,Com_group_replication_stop,5.7;8.0,0,,statements,
STATUS,counter,Com_ha_close,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of HANDLER table_name CLOSE commands executed
STATUS,counter,Com_ha_open,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of HANDLER table_name OPEN commands executed.
STATUS,counter,Com_ha_read,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,Number of HANDLER table_name READ commands executed
STATUS,counter,Com_help,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_import,8,0,,statements,
